Symbol,Date,Open,High,Low,Close,Percent Change,Volume
EHPL,8/29/2024,540,560,530.3,540,-0.0146,"5,766.00"
EHPL,8/28/2024,550,576.3,531.6,548,0.0074,"5,692.00"
EHPL,8/27/2024,565.5,585,533.3,544,-0.0572,"6,864.00"
EHPL,8/25/2024,578.1,612.7,576,577,-0.0217,"5,355.00"
EHPL,8/22/2024,588,611.5,576.1,589.8,0.0031,"9,297.00"
EHPL,8/21/2024,599,599,569.5,588,-0.0103,"15,526.00"
EHPL,8/18/2024,620.5,625,594.1,594.1,-0.0615,"15,008.00"
EHPL,8/15/2024,644.8,681,633,633,-0.0378,"14,697.00"
EHPL,8/14/2024,630,657.9,618.3,657.9,0.0503,"19,442.00"
EHPL,8/13/2024,642.6,650,620,626.4,-0.0057,"28,833.00"
EHPL,8/12/2024,615.2,635,605,630,0.0444,"27,474.00"
EHPL,8/11/2024,600,615,595.1,603.2,0.0053,"12,660.00"
EHPL,8/8/2024,606.7,625,590,600,-0.0307,"15,453.00"
EHPL,8/7/2024,595,631.2,585.3,619,0.0405,"19,594.00"
EHPL,8/6/2024,620,638,585.1,594.9,-0.0327,"31,838.00"
EHPL,8/5/2024,590,618,580,615,0.0515,"24,231.00"
EHPL,8/1/2024,601,603,577.2,584.9,-0.0252,"14,204.00"
EHPL,7/31/2024,607.9,610,590.1,600,0.0067,"26,995.00"
EHPL,7/30/2024,575.2,602.7,575.2,596,0.0241,"14,651.00"
EHPL,7/29/2024,585.6,621,582,582,-0.0259,"17,679.00"
EHPL,7/28/2024,608.9,608.9,575.1,597.5,0.0008,"17,789.00"
EHPL,7/25/2024,574.2,603,574.2,597,0.0205,"23,980.00"
EHPL,7/24/2024,587.1,607,578,585,-0.0217,"21,726.00"
EHPL,7/23/2024,578.2,605.4,566.7,598,0.0136,"20,533.00"
EHPL,7/22/2024,589.3,601,580,590,-0.0188,"20,742.00"
EHPL,7/21/2024,625,625,600,601.3,-0.0364,"31,230.00"
EHPL,7/18/2024,600,642,589,624,0.0594,"44,930.00"
EHPL,7/17/2024,568.4,594,568.4,589,0.0155,"32,224.00"
EHPL,7/16/2024,550,580,550,580,0.0544,"22,771.00"
EHPL,7/15/2024,566,566,547.5,550.1,-0.0088,"15,122.00"
EHPL,7/14/2024,552.8,558,541.8,555,0.024,"13,658.00"
EHPL,7/11/2024,540,552,531,542,-0.0128,"9,332.00"
EHPL,7/10/2024,555.9,555.9,537,549,0.0073,"10,207.00"
EHPL,7/9/2024,518.6,572.2,518.6,545,0.0301,"17,723.00"
EHPL,7/8/2024,525.9,541.6,525.9,529.1,-0.011,"5,217.00"
EHPL,7/7/2024,527.5,558.9,527.5,535,-0.0059,"8,020.00"
EHPL,7/4/2024,550,559,538,538.2,-0.0215,"9,852.00"
EHPL,7/3/2024,553.7,559,548,550,-0.0265,"3,589.00"
EHPL,7/2/2024,558.9,581,527.4,565,0.031,"4,873.00"
EHPL,7/1/2024,535.1,548.8,535.1,548,0.0037,"5,800.00"
EHPL,6/30/2024,574,574,536,546,-0.0316,"9,602.00"
EHPL,6/27/2024,549.8,570,549.8,563.8,0.005,"5,475.00"
EHPL,6/26/2024,589.5,589.5,560,561,-0.0326,"8,078.00"
EHPL,6/25/2024,557,579.9,545,579.9,0.0601,"20,224.00"
EHPL,6/24/2024,560,560,540,547,-0.0053,"10,154.00"
EHPL,6/23/2024,539,555,535,549.9,0.0016,"10,696.00"
EHPL,6/20/2024,538.1,562.9,538.1,549,0,"7,080.00"
EHPL,6/19/2024,565,565,541.2,549,-0.0106,"7,649.00"
EHPL,6/18/2024,539,559,539,554.9,0.0089,"10,550.00"
EHPL,6/16/2024,577.5,577.5,546,550,-0.0286,"19,657.00"
EHPL,6/13/2024,568,580.9,565.1,566.2,-0.0221,"21,635.00"
EHPL,6/12/2024,618.1,618.1,573,579,-0.0446,"39,772.00"
EHPL,6/11/2024,570,612,568,606,0.0448,"40,338.00"
EHPL,6/10/2024,550,590,550,580,0.0545,"31,184.00"
EHPL,6/9/2024,500,550,500,550,0.1,"45,693.00"
EHPL,6/6/2024,490,518,490,500,0,"14,215.00"
EHPL,6/5/2024,502,509.9,497,500,-0.0177,"5,341.00"
EHPL,6/4/2024,544.6,550,508.5,509,-0.0468,"16,529.00"
EHPL,6/3/2024,509,565,508,534,0.0283,"27,593.00"
EHPL,6/2/2024,494,523.6,494,519.3,0.0304,"23,473.00"
EHPL,5/30/2024,510,520,495,504,-0.027,"26,388.00"
EHPL,5/29/2024,543.6,543.6,511.5,518,-0.0281,"18,604.00"
EHPL,5/27/2024,500.8,536,496.2,533,0.0431,"40,243.00"
EHPL,5/26/2024,510,524.9,496,511,-0.0173,"31,989.00"
EHPL,5/22/2024,502,521,491.1,520,0.0535,"45,545.00"
EHPL,5/21/2024,455,493.6,444,493.6,0.0971,"40,213.00"
EHPL,5/20/2024,455,455,441,449.9,0.0002,"6,008.00"
EHPL,5/19/2024,441,454,440,449.8,0.004,"5,707.00"
EHPL,5/16/2024,437,455,435,448,0.0113,"7,657.00"
EHPL,5/15/2024,442.1,467.9,442.1,443,-0.0156,"5,469.00"
EHPL,5/14/2024,446,465,446,450,-0.0088,"9,761.00"
EHPL,5/13/2024,464.9,464.9,440,454,-0.0173,"2,860.00"
EHPL,5/12/2024,437,478,437,462,0.0431,"16,337.00"
EHPL,5/9/2024,443.7,443.7,436,442.9,0.0066,"4,611.00"
EHPL,5/8/2024,449,449,432,440,-0.0056,"1,531.00"
EHPL,5/7/2024,448,457.9,434,442.5,-0.0164,"5,395.00"
EHPL,5/6/2024,449,460,441.8,449.9,-0.0153,"3,541.00"
EHPL,5/5/2024,460,460,449.1,456.9,-0.0132,"3,120.00"
EHPL,5/2/2024,482.4,482.4,455.2,463,-0.0211,"4,591.00"
EHPL,4/30/2024,461.1,480.4,446.7,473,0.0462,"25,494.00"
EHPL,4/29/2024,478.9,478.9,451,452.1,-0.0381,"10,880.00"
EHPL,4/28/2024,470.2,517,462,470,-0.0202,"37,815.00"
EHPL,4/25/2024,474.3,482,466,479.7,0.0316,"21,376.00"
EHPL,4/24/2024,465.1,473.1,457,465,0.0197,"41,905.00"
EHPL,4/22/2024,453.6,465,436,456,0.0247,"26,575.00"
EHPL,4/21/2024,447.4,456.3,431.8,445,0.0141,"2,400.00"
EHPL,4/18/2024,437.1,443,436.1,438.8,-0.0249,"2,590.00"
EHPL,4/16/2024,449,456,440.2,450,0.0022,"8,228.00"
EHPL,4/15/2024,435,468,434.3,449,0.0205,"14,083.00"
EHPL,4/14/2024,432,445.8,432,440,0.0066,"5,160.00"
EHPL,4/10/2024,454.4,454.4,436.6,437.1,-0.02,"12,730.00"
EHPL,4/9/2024,442.8,458,435,446,0.0072,"5,877.00"
EHPL,4/7/2024,430.7,443,425.7,442.8,0.0156,"6,190.00"
EHPL,4/4/2024,423.9,445,423.9,436,0.0081,"3,719.00"
EHPL,4/3/2024,433,459,431,432.5,-0.0035,"7,870.00"
EHPL,4/2/2024,447,447,434,434,-0.0125,"4,384.00"
EHPL,4/1/2024,462,462,435,439.5,-0.0298,"5,840.00"
EHPL,3/31/2024,462.5,471,446,453,-0.0349,"20,569.00"
EHPL,3/28/2024,474,480,460.7,469.4,-0.0097,"8,694.00"
EHPL,3/27/2024,450,478.4,435,474,0.0724,"56,009.00"
EHPL,3/26/2024,440,445,425.4,442,0.0184,"3,392.00"
EHPL,3/25/2024,448.4,448.4,425,434,-0.0134,"1,362.00"
EHPL,3/21/2024,450,454.5,431.3,439.9,-0.0137,"6,576.00"
